# conv2 output: 16 channels
# Format: channel, y, x, value
12, 0, 5, 33
12, 0, 6, 33
12, 0, 7, 33
12, 1, 0, 33
12, 1, 1, 97
12, 1, 2, 127
12, 1, 3, 49
12, 1, 4, 17
12, 1, 5, 17
12, 1, 6, 17
12, 1, 7, 17
12, 2, 0, 17
12, 2, 1, 97
12, 2, 2, 65
12, 2, 3, 1
12, 2, 4, 0
12, 2, 5, 0
12, 2, 6, 0
12, 2, 7, 0
12, 3, 0, 0
12, 3, 1, 113
12, 3, 2, 49
12, 3, 3, 113
12, 3, 4, 65
12, 3, 5, 65
12, 3, 6, 65
12, 3, 7, 65
12, 4, 0, 65
12, 4, 1, 97
12, 4, 2, 127
12, 4, 3, 113
12, 4, 4, 65
12, 4, 5, 65
12, 4, 6, 65
12, 4, 7, 65
12, 5, 0, 65
12, 5, 1, 127
12, 5, 2, 127
12, 5, 3, 113
12, 5, 4, 49
12, 5, 5, 49
12, 5, 6, 49
12, 5, 7, 49
12, 6, 0, 49
12, 6, 1, 127
12, 6, 2, 127
12, 6, 3, 113
12, 6, 4, 49
12, 6, 5, 49
12, 6, 6, 49
12, 6, 7, 49
12, 7, 0, 49
12, 7, 1, 97
12, 7, 2, 127
12, 7, 3, 97
12, 7, 4, 33
12, 7, 5, 33
12, 7, 6, 33
12, 7, 7, 33
13, 0, 0, 27
13, 0, 1, 123
13, 0, 2, 127
13, 0, 3, 75
13, 0, 4, 27
13, 0, 5, 27
13, 0, 6, 27
13, 0, 7, 27
13, 1, 0, 27
13, 1, 1, 127
13, 1, 2, 127
13, 1, 3, 43
13, 1, 4, 11
13, 1, 5, 11
13, 1, 6, 11
13, 1, 7, 11
13, 2, 0, 11
13, 2, 1, 127
13, 2, 2, 107
13, 2, 3, 0
13, 2, 4, 0
13, 2, 5, 0
13, 2, 6, 0
13, 2, 7, 0
13, 3, 0, 0
13, 3, 1, 127
13, 3, 2, 107
13, 3, 3, 127
13, 3, 4, 91
13, 3, 5, 91
13, 3, 6, 91
13, 3, 7, 91
13, 4, 0, 91
13, 4, 1, 127
13, 4, 2, 127
13, 4, 3, 127
13, 4, 4, 91
13, 4, 5, 91
13, 4, 6, 91
13, 4, 7, 91
13, 5, 0, 91
13, 5, 1, 127
13, 5, 2, 127
13, 5, 3, 127
13, 5, 4, 43
13, 5, 5, 43
13, 5, 6, 43
13, 5, 7, 43
13, 6, 0, 43
13, 6, 1, 127
13, 6, 2, 127
13, 6, 3, 127
13, 6, 4, 43
13, 6, 5, 43
13, 6, 6, 43
13, 6, 7, 43
13, 7, 0, 43
13, 7, 1, 127
13, 7, 2, 127
13, 7, 3, 127
13, 7, 4, 27
13, 7, 5, 27
13, 7, 6, 27
13, 7, 7, 27
14, 0, 0, 4
14, 0, 1, 100
14, 0, 2, 116
14, 0, 3, 52
14, 0, 4, 4
14, 0, 5, 4
14, 0, 6, 4
14, 0, 7, 4
14, 1, 0, 4
14, 1, 1, 100
14, 1, 2, 127
14, 1, 3, 36
14, 1, 4, 0
14, 1, 5, 0
14, 1, 6, 0
14, 1, 7, 0
14, 2, 0, 0
14, 2, 1, 100
14, 2, 2, 36
14, 2, 3, 0
14, 2, 4, 0
14, 2, 5, 0
14, 2, 6, 0
14, 2, 7, 0
14, 3, 0, 0
14, 3, 1, 84
14, 3, 2, 52
14, 3, 3, 84
14, 3, 4, 52
14, 3, 5, 52
14, 3, 6, 52
14, 3, 7, 52
14, 4, 0, 52
14, 4, 1, 68
14, 4, 2, 116
14, 4, 3, 84
14, 4, 4, 52
14, 4, 5, 52
14, 4, 6, 52
14, 4, 7, 52
14, 5, 0, 52
14, 5, 1, 127
14, 5, 2, 127
14, 5, 3, 100
14, 5, 4, 36
14, 5, 5, 36
14, 5, 6, 36
14, 5, 7, 36
14, 6, 0, 36
14, 6, 1, 127
14, 6, 2, 127
14, 6, 3, 100
14, 6, 4, 36
14, 6, 5, 36
14, 6, 6, 36
14, 6, 7, 36
14, 7, 0, 36
14, 7, 1, 84
14, 7, 2, 116
14, 7, 3, 68
14, 7, 4, 4
14, 7, 5, 4
14, 7, 6, 4
14, 7, 7, 4
15, 0, 0, 93
15, 0, 1, 93
15, 0, 2, 127
15, 0, 3, 125
15, 0, 4, 93
15, 0, 5, 93
15, 0, 6, 93
15, 0, 7, 93
15, 1, 0, 93
15, 1, 1, 109
15, 1, 2, 127
15, 1, 3, 93
15, 1, 4, 77
15, 1, 5, 77
15, 1, 6, 77
15, 1, 7, 77
15, 2, 0, 77
15, 2, 1, 125
15, 2, 2, 127
15, 2, 3, 61
15, 2, 4, 13
15, 2, 5, 13
15, 2, 6, 13
15, 2, 7, 13
15, 3, 0, 13
15, 3, 1, 127
15, 3, 2, 93
15, 3, 3, 127
15, 3, 4, 125
15, 3, 5, 125
15, 3, 6, 125
15, 3, 7, 125
15, 4, 0, 125
15, 4, 1, 127
15, 4, 2, 127
15, 4, 3, 127
15, 4, 4, 125
15, 4, 5, 125
15, 4, 6, 125
15, 4, 7, 125
15, 5, 0, 125
15, 5, 1, 127
15, 5, 2, 127
15, 5, 3, 127
15, 5, 4, 93
15, 5, 5, 93
15, 5, 6, 93
15, 5, 7, 93
15, 6, 0, 93
15, 6, 1, 127
15, 6, 2, 127
15, 6, 3, 127
15, 6, 4, 93
15, 6, 5, 93
15, 6, 6, 93
15, 6, 7, 93
15, 7, 0, 93
15, 7, 1, 109
15, 7, 2, 127
15, 7, 3, 127
15, 7, 4, 93
15, 7, 5, 93
15, 7, 6, 93
15, 7, 7, 93
